SalesOrderID,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,CustomerID,SalesPersonID,TerritoryID,BillToAddressID,ShipToAddressID,ShipMethodID,CreditCardID,CreditCardApprovalCode,CurrencyRateID,SubTotal,TaxAmt,Freight,TotalDue,Comment,rowguid,ModifiedDate,SalesOrderNumber,PurchaseOrderNumber,BusinessEntityID,Name,SalesPersonID,Demographics,rowguid,SalesOrderID,RevisionNumber,SalesOrderNumber,PurchaseOrderNumber
43659,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43659,PO522145787,10-4020-000676,29825,279,5,985,985,5,16281,105041Vi84182,NULL,20565.6206,1971.5149,616.0984,23153.2339,NULL,79B65321-39CA-4115-9CBA-8FE0903E12E6,6/7/2011 0:00,SO43659,PO522145787,1390,Contoso Ltd.,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1000000</AnnualSales><AnnualRevenue>100000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BS</BusinessType><YearOpened>2001</YearOp",8874D7B8-9BFB-412A-B19C-3C566C15C03A,43659,8,SO43659,PO522145787
43660,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43660,PO18850127500,10-4020-000117,29672,279,5,921,921,5,5618,115213Vi29411,NULL,1294.2529,124.2483,38.8276,1457.3288,NULL,738DC42D-D03B-48A1-9822-F95A67EA7389,6/7/2011 0:00,SO43660,PO18850127500,1418,Health Spa Limited,282,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>1500000</AnnualSales><AnnualRevenue>150000</AnnualRevenue><BankName>Primary International</BankName><BusinessType>OS</BusinessType><YearOpened>1986",2340BC61-C2F5-4F38-84A6-44B3E1B90D5E,43660,8,SO43660,PO18850127500
43661,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43661,PO18473189620,10-4020-000442,29734,282,6,517,517,5,1346,85274Vi6854,4,32726.4786,3153.7696,985.553,36865.8012,NULL,D91B9131-18A4-4A11-BC3A-90B6F53E9D74,6/7/2011 0:00,SO43661,PO18473189620,292,Next-Door Bike Store,279,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>United Security</BankName><BusinessType>BM</BusinessType><YearOpened>1996</YearOp",A22517E3-848D-4EBE-B9D9-7437F3432304,43661,8,SO43661,PO18473189620
43662,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43662,PO18444174044,10-4020-000227,29994,282,6,482,482,5,10456,125295Vi53935,4,28832.5289,2775.1646,867.2389,32474.9324,NULL,4A1ECFC0-CC3A-4740-B028-1C50BB48711C,6/7/2011 0:00,SO43662,PO18444174044,294,Professional Sales and Service,276,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1991</Yea",B50CA50B-C601-4A13-B07E-2C63862D71B4,43662,8,SO43662,PO18444174044
43663,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43663,PO18009186470,10-4020-000510,29565,276,4,1073,1073,5,4322,45303Vi22691,NULL,419.4589,40.2681,12.5838,472.3108,NULL,9B1E7A40-6AE0-4AD3-811C-A64951857C4B,6/7/2011 0:00,SO43663,PO18009186470,296,Riders Company,277,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BM</BusinessType><YearOpened>1",337C3688-1339-4E1A-A08A-B54B23566E49,43663,8,SO43663,PO18009186470
43664,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43664,PO16617121983,10-4020-000397,29898,280,1,876,876,5,806,95555Vi4081,NULL,24432.6088,2344.9921,732.81,27510.4109,NULL,22A8A5DA-8C22-42AD-9241-839489B6EF0D,6/7/2011 0:00,SO43664,PO16617121983,298,The Bike Mechanics,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BM</BusinessType><YearOpened>1994<",7894F278-F0C8-4D16-BD75-213FDBF13023,43664,8,SO43664,PO16617121983
43665,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43665,PO16588191572,10-4020-000146,29580,283,1,849,849,5,15232,35568Vi78804,NULL,14352.7713,1375.9427,429.9821,16158.6961,NULL,5602C304-853C-43D7-9E79-76E320D476CF,6/7/2011 0:00,SO43665,PO16588191572,300,Nationwide Supply,286,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>Guardian Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1987</YearOpen",C3FC9705-A8C4-4F3A-9550-EB2FA4B7B64D,43665,8,SO43665,PO16588191572
43666,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43666,PO16008173883,10-4020-000511,30052,276,4,1074,1074,5,13349,105623Vi69217,NULL,5056.4896,486.3747,151.9921,5694.8564,NULL,E2A90057-1366-4487-8A7E-8085845FF770,6/7/2011 0:00,SO43666,PO16008173883,302,Area Bike Accessories,281,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>International Bank</BankName><BusinessType>BM</BusinessType><YearOpened>1982</Yea",368BE6DD-30E5-49BB-9A86-71FD49C58F4E,43666,8,SO43666,PO16008173883
43667,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43667,PO15428132599,10-4020-000646,29974,277,3,629,629,5,10370,55680Vi53503,NULL,6107.082,586.1203,183.1626,6876.3649,NULL,86D5237D-432D-4B21-8ABC-671942F5789D,6/7/2011 0:00,SO43667,PO15428132599,304,Bicycle Accessories and Kits,283,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>300000</AnnualSales><AnnualRevenue>30000</AnnualRevenue><BankName>Primary Bank &amp; Reserve</BankName><BusinessType>BM</BusinessType><YearOpened>1",35F40636-5105-49D5-869E-27E231189150,43667,8,SO43667,PO15428132599
43668,8,05/31/2011 0:00,06/12/2011 0:00,06/07/2011 0:00,5,0,SO43668,PO14732180295,10-4020-000514,29614,282,6,529,529,5,1566,85817Vi8045,4,35944.1562,3461.7654,1081.8017,40487.7233,NULL,281CC355-D538-494E-9B44-461B36A826C6,6/7/2011 0:00,SO43668,PO14732180295,306,Clamps & Brackets Co.,275,"<StoreSurvey xmlns=""http://schemas.microsoft.com/sqlserver/2004/07/adventure-works/StoreSurvey""><AnnualSales>800000</AnnualSales><AnnualRevenue>80000</AnnualRevenue><BankName>International Security</BankName><BusinessType>BM</BusinessType><YearOpened>1985<",64D06BFC-D060-405C-8C60-C067FE7C67DF,43668,8,SO43668,PO14732180295
